                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5706,                 2.3616,                 1.2693,                0.69331,                0.69082,                0.71239,                0.40688,                  1.449,                 1.5641,                 1.2729,             0.00055323,             0.00055323,             0.00055323
                      2,                 1.4922,                 1.4894,                 1.2489,                0.63168,                0.70538,                0.71976,                0.40476,                 1.4902,                 1.4182,                 1.3753,              0.0010869,              0.0010869,              0.0010869
                      3,                 1.4864,                 1.2802,                 1.2619,                0.71154,                0.66271,                0.74025,                0.43767,                 1.4819,                 1.2396,                 1.3261,              0.0015986,              0.0015986,              0.0015986
                      4,                 1.4714,                 1.1561,                 1.2537,                0.81842,                 0.7578,                0.83752,                 0.4968,                  1.427,                 1.0045,                 1.2489,               0.001568,               0.001568,               0.001568
                      5,                 1.4452,                 1.0855,                 1.2357,                0.82042,                0.77895,                0.86217,                0.51812,                 1.3679,                0.98184,                  1.242,               0.001535,               0.001535,               0.001535
                      6,                 1.4189,                 1.0391,                 1.2303,                 0.8357,                0.79027,                0.85826,                0.52848,                 1.3868,                0.93965,                 1.2436,               0.001502,               0.001502,               0.001502
                      7,                 1.3862,                0.98506,                 1.2122,                0.83362,                0.81763,                0.88481,                0.53715,                 1.3542,                0.87425,                 1.2389,               0.001469,               0.001469,               0.001469
                      8,                 1.3715,                0.94413,                 1.2026,                0.83398,                0.83295,                0.89188,                0.54662,                 1.3593,                0.80459,                 1.2245,               0.001436,               0.001436,               0.001436
                      9,                 1.3464,                0.89564,                 1.1925,                 0.8753,                0.81498,                0.89687,                0.54755,                 1.3877,                0.79866,                 1.2495,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.3393,                0.88788,                  1.185,                0.83097,                 0.8656,                0.89329,                 0.5449,                  1.376,                0.81709,                 1.2454,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.3189,                0.86869,                 1.1689,                0.84149,                0.83834,                0.89807,                0.55212,                 1.3648,                0.77419,                  1.239,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.3091,                0.83819,                 1.1776,                0.81991,                0.85705,                0.88489,                0.54444,                 1.3773,                0.77119,                 1.2518,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.2997,                0.83873,                  1.167,                0.83355,                0.85488,                0.91182,                0.57496,                 1.3247,                 0.7551,                 1.2124,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.2804,                0.79941,                  1.159,                0.85054,                0.86253,                 0.9025,                0.56097,                 1.3533,                0.74901,                 1.2538,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.2639,                0.78496,                 1.1517,                0.84862,                 0.8487,                 0.9125,                0.58172,                 1.3314,                0.70325,                 1.2238,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.2646,                0.79675,                 1.1508,                0.86002,                 0.8666,                0.91547,                0.57806,                 1.3219,                0.70681,                 1.2122,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.2432,                0.76346,                 1.1417,                0.85129,                0.88841,                0.93176,                0.58939,                 1.3198,                0.67777,                 1.2178,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.2446,                0.75694,                 1.1379,                0.84003,                0.85618,                0.91382,                0.56648,                 1.3782,                0.72109,                 1.2553,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.2357,                0.73835,                 1.1306,                0.85626,                0.84737,                0.91612,                0.58004,                 1.3125,                0.68998,                 1.2104,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.2143,                0.71309,                 1.1225,                0.82422,                 0.8613,                0.90877,                0.56851,                 1.3478,                0.73821,                  1.236,              0.0010399,              0.0010399,              0.0010399
                     21,                   1.21,                0.71393,                 1.1199,                0.85136,                 0.8162,                0.91133,                0.57648,                 1.3322,                0.74986,                 1.2113,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.1937,                0.70952,                 1.1117,                0.84592,                0.86992,                 0.9144,                0.57574,                 1.3319,                0.71124,                 1.2207,             0.00097386,             0.00097386,             0.00097386
