                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4838,                 1.2457,                 1.7236,                0.95692,                   0.25,                0.28722,                0.02872,                 2.6771,                 4.1628,                 3.7096,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.6009,                 1.4843,                 1.6417,                0.95585,                   0.25,                  0.283,                 0.0283,                  2.656,                 4.1704,                 3.7082,             5.9802e-05,             5.9802e-05,             5.9802e-05
                      3,                 1.6078,                 1.5648,                 1.7761,                0.96127,                   0.25,                0.36279,                0.08647,                 2.6787,                 3.7936,                 3.8191,              9.934e-05,              9.934e-05,              9.934e-05
                      4,                 1.3894,                 1.1389,                 1.5804,                0.74401,                0.73202,                  0.659,                0.22135,                 2.6864,                 2.9126,                 3.8236,             0.00013861,             0.00013861,             0.00013861
                      5,                 1.4104,                0.96722,                 1.4545,                0.57412,                   0.75,                 0.7215,                0.32615,                 2.4197,                 2.2923,                 3.1709,             0.00017762,             0.00017762,             0.00017762
                      6,                 1.2879,                0.81282,                 1.3397,                0.84342,                   0.75,                0.88786,                0.42754,                 2.0502,                 1.4383,                 2.6454,             0.00021637,             0.00021637,             0.00021637
                      7,                 1.3019,                0.72224,                 1.2961,                0.79409,                0.97045,                  0.945,                0.49631,                 1.7305,                0.95107,                 2.4274,             0.00025485,             0.00025485,             0.00025485
                      8,                 1.2468,                0.66123,                 1.3452,                0.79607,                0.98036,                  0.945,                 0.4784,                 1.7465,                0.95101,                 2.3693,             0.00029307,             0.00029307,             0.00029307
                      9,                  1.207,                0.73255,                 1.3525,                0.79575,                0.97877,                  0.895,                0.44902,                  1.775,                0.96393,                 2.3794,             0.00033102,             0.00033102,             0.00033102
                     10,                 1.1988,                0.57993,                 1.2499,                0.79693,                0.98465,                  0.895,                0.45429,                 1.7678,                0.96333,                 2.3756,             0.00036871,             0.00036871,             0.00036871
                     11,                 1.1952,                0.67723,                  1.298,                0.79825,                0.99123,                  0.845,                0.46885,                 1.7669,                0.95856,                 2.3812,             0.00040614,             0.00040614,             0.00040614
                     12,                 1.0375,                0.57541,                 1.2012,                0.79762,                      1,                  0.845,                0.46709,                 1.7491,                0.93405,                 2.3766,              0.0004433,              0.0004433,              0.0004433
